city,zip,state,latitude,longitude
Albuquerque,87102,NM,35.0818,-106.6482
Ashburn,20147,VA,39.0373,-77.4805
Atlanta,30327,GA,33.8627,-84.42
Austin,78704,TX,30.2428,-97.7658
Baltimore,21230,MD,39.2645,-76.6224
Birmingham,35233,AL,33.5062,-86.8003
Boise,83634,ID,43.487,-116.3819
Boston,01532,MA,42.3182,-71.6464
Bozeman,59718,MT,45.6681,-111.2404
Brunswick,04011,ME,43.8973,-69.9779
Charleston,29456,SC,32.993,-80.1257
Charlotte,28273,NC,35.1287,-80.9338
Cheyenne,82007,WY,41.1084,-104.8107
Chicago,60164,IL,41.9214,-87.8924
Cincinnati,45011,OH,39.4059,-84.5221
Cleveland,44114,OH,41.5064,-81.6742
Columbus,43085,OH,40.0999,-83.0157
Dallas,75234,TX,32.9245,-96.8938
Denver,80216,CO,39.7835,-104.9669
Des-Moines,50263,IA,41.593,-93.8592
Detroit,48075,MI,42.4638,-83.2255
Fargo,58104,ND,46.7932,-96.8397
Houston,77388,TX,30.0505,-95.4695
Indianapolis,46225,IN,39.7406,-86.1569
Jackson,39211,MS,32.3739,-90.1293
Kansas-City,66219,KS,38.9553,-94.7799
Las-Vegas,89081,NV,36.2583,-115.1068
Little-Rock,72223,AR,34.7902,-92.5044
Los-Angeles,90017,CA,34.0559,-118.2666
Louisville,40223,KY,38.2651,-85.5582
Manassas,20109,VA,38.793,-77.5266
Manchester,03103,NH,42.9656,-71.4493
Miami,33132,FL,25.7867,-80.18
Milwaukee,53215,WI,43.006,-87.9429
Minneapolis,55415,MN,44.9742,-93.2585
Nashville,37067,TN,35.9121,-86.7655
New-Orleans,70461,LA,30.2726,-89.729
New-York-City,10004,NY,40.6964,-74.0253
Omaha,68005,NE,41.1497,-95.9099
Philadelphia,19103,PA,39.9513,-75.1741
Phoenix,85255,AZ,33.6968,-111.8892
Piscataway,08854,NJ,40.5515,-74.459
Pittsburgh,16020,PA,41.1092,-79.9047
Portland,97124,OR,45.5387,-122.9636
Providence,02908,RI,41.8383,-71.4377
Salt-Lake-City,84104,UT,40.7498,-111.926
San-Jose,95134,CA,37.4087,-121.9406
Santa-Clara,95051,CA,37.3483,-121.9844
Seattle,98109,WA,47.6339,-122.3476
Sioux-Falls,57104,SD,43.5514,-96.7375
South-Burlington,05495,VT,44.4367,-73.0957
St.-Louis,63102,MO,38.6352,-90.1864
Stamford,06902,CT,41.0602,-73.5445
Sterling,20166,VA,38.9814,-77.4723
Tampa,33605,FL,27.9671,-82.4334
Tulsa,74120,OK,36.1442,-95.9734
Washington,20005,DC,38.9067,-77.0312
Wilmington,19802,DE,39.7564,-75.534
