alpha,beta,gamma,weight_label,total_co2_kg,total_water_l,jobs_scheduled,coverage,pareto_optimal
0.0,0.0,1.0,α=0.0 β=0.0 γ=1.0,3034.45,4271.98,50,1.0,False
0.0,0.25,0.75,α=0.0 β=0.2 γ=0.8,3329.55,4271.98,50,1.0,False
0.0,0.5,0.5,α=0.0 β=0.5 γ=0.5,3329.55,4271.98,50,1.0,False
0.0,0.75,0.25,α=0.0 β=0.8 γ=0.2,2170.34,2133.26,50,1.0,False
0.0,1.0,0.0,α=0.0 β=1.0 γ=0.0,1465.85,758.78,50,1.0,True
0.25,0.0,0.75,α=0.2 β=0.0 γ=0.8,2776.23,4271.98,50,1.0,False
0.25,0.25,0.5,α=0.2 β=0.2 γ=0.5,2776.23,4271.98,50,1.0,False
0.25,0.5,0.25,α=0.2 β=0.5 γ=0.2,1424.33,2210.59,50,1.0,False
0.25,0.75,0.0,α=0.2 β=0.8 γ=0.0,190.79,1021.44,50,1.0,True
0.5,0.0,0.5,α=0.5 β=0.0 γ=0.5,2776.23,4271.98,50,1.0,False
0.5,0.25,0.25,α=0.5 β=0.2 γ=0.2,1424.33,2210.59,50,1.0,False
0.5,0.5,0.0,α=0.5 β=0.5 γ=0.0,190.79,1021.44,50,1.0,True
0.75,0.0,0.25,α=0.8 β=0.0 γ=0.2,1730.58,3687.94,50,1.0,False
0.75,0.25,0.0,α=0.8 β=0.2 γ=0.0,190.79,1021.44,50,1.0,True
1.0,0.0,0.0,α=1.0 β=0.0 γ=0.0,190.79,1021.44,50,1.0,True
