alpha,beta,gamma,weight_label,total_co2_kg,total_water_l,jobs_scheduled,coverage,pareto_optimal
0.0,0.0,1.0,α=0.0 β=0.0 γ=1.0,4852.73,8290.79,50,1.0,False
0.0,0.25,0.75,α=0.0 β=0.2 γ=0.8,5112.51,7810.17,50,1.0,False
0.0,0.5,0.5,α=0.0 β=0.5 γ=0.5,5112.51,7810.17,50,1.0,False
0.0,0.75,0.25,α=0.0 β=0.8 γ=0.2,5453.25,5142.45,50,1.0,False
0.0,1.0,0.0,α=0.0 β=1.0 γ=0.0,6057.94,4408.46,50,1.0,True
0.25,0.0,0.75,α=0.2 β=0.0 γ=0.8,3131.91,8760.59,50,1.0,False
0.25,0.25,0.5,α=0.2 β=0.2 γ=0.5,3382.19,7992.65,50,1.0,False
0.25,0.5,0.25,α=0.2 β=0.5 γ=0.2,3616.63,6963.19,50,1.0,False
0.25,0.75,0.0,α=0.2 β=0.8 γ=0.0,4268.85,4510.51,50,1.0,True
0.5,0.0,0.5,α=0.5 β=0.0 γ=0.5,3131.91,8760.59,50,1.0,False
0.5,0.25,0.25,α=0.5 β=0.2 γ=0.2,3244.38,8074.03,50,1.0,False
0.5,0.5,0.0,α=0.5 β=0.5 γ=0.0,2341.01,5474.65,50,1.0,True
0.75,0.0,0.25,α=0.8 β=0.0 γ=0.2,3101.05,8752.37,50,1.0,False
0.75,0.25,0.0,α=0.8 β=0.2 γ=0.0,2263.72,5599.62,50,1.0,True
1.0,0.0,0.0,α=1.0 β=0.0 γ=0.0,1772.4,12614.61,50,1.0,True
