dc_id,city,max_power_per_hour,pue,water_usage_factor,region_water_scarcity,is_new,category
dc_dublin_1,Dublin,600,1.20,0.85,0.20,0,hyperscaler
dc_amsterdam_1,Amsterdam,800,1.15,0.90,0.30,0,hyperscaler
dc_frankfurt_1,Frankfurt,900,1.25,1.00,0.25,0,hyperscaler
dc_london_1,London,700,1.22,0.88,0.22,0,hyperscaler
dc_paris_1,Paris,750,1.18,0.92,0.28,0,hyperscaler
dc_stockholm_1,Stockholm,500,1.12,0.70,0.10,0,hyperscaler
dc_helsinki_1,Helsinki,400,1.10,0.65,0.08,0,hyperscaler
dc_madrid_1,Madrid,550,1.30,1.05,0.65,0,hyperscaler
dc_warsaw_1,Warsaw,450,1.28,0.95,0.40,0,hyperscaler
dc_copenhagen_1,Copenhagen,400,1.15,0.80,0.18,0,hyperscaler
