job_id,origin_city,power_demand_kw,duration_hours,earliest_start,deadline,priority,assigned_dc_id,assigned_city,scheduled_start,scheduled_end,scheduler_score,expected_co2_kg,expected_water_liters,scarcity_weighted_water_liters,relocated,scheduled,failure_reason
job_042_0169,Zone West,23.00000000,1,2025-01-01 03:00:00,2025-01-02 03:00:00,0,dc_2,Zone West,2025-01-01 06:00:00,2025-01-01 07:00:00,0.07393650,5.10240097,6.62324628,11.92184330,0,1,
job_042_0068,Zone East,31.00000000,5,2025-01-01 10:00:00,2025-01-01 18:00:00,0,dc_2,Zone West,2025-01-01 10:00:00,2025-01-01 15:00:00,0.28535308,50.83680189,51.38439362,92.49190851,1,1,
job_042_0000,Zone South,19.00000000,6,2025-01-01 12:00:00,2025-01-02 15:00:00,0,dc_2,Zone West,2025-01-02 05:00:00,2025-01-02 11:00:00,0.19338336,27.94088946,34.28199374,61.70758872,1,1,
job_042_0132,Zone South,44.00000000,1,2025-01-01 12:00:00,2025-01-02 08:00:00,0,dc_2,Zone West,2025-01-02 06:00:00,2025-01-02 07:00:00,0.17858367,9.95071348,12.66802332,22.80244198,1,1,
job_042_0117,Zone South,21.00000000,3,2025-01-01 19:00:00,2025-01-02 01:00:00,0,dc_2,Zone West,2025-01-01 22:00:00,2025-01-02 01:00:00,0.40226954,27.27526555,24.69166837,44.44500306,1,1,
job_042_0177,Zone West,16.00000000,6,2025-01-01 22:00:00,2025-01-02 09:00:00,0,dc_2,Zone West,2025-01-02 03:00:00,2025-01-02 09:00:00,0.08425091,23.99753756,29.70005128,53.46009231,0,1,
job_042_0022,Zone West,34.00000000,3,2025-01-02 01:00:00,2025-01-03 03:00:00,0,dc_2,Zone West,2025-01-02 06:00:00,2025-01-02 09:00:00,0.06603484,23.20924421,30.28712264,54.51682075,0,1,
job_042_0101,Zone East,35.00000000,3,2025-01-02 03:00:00,2025-01-02 12:00:00,0,dc_2,Zone West,2025-01-02 06:00:00,2025-01-02 09:00:00,0.11151183,23.89186904,31.17792036,56.12025665,1,1,
job_042_0110,Zone West,22.00000000,5,2025-01-02 14:00:00,2025-01-03 14:00:00,0,dc_2,Zone West,2025-01-03 05:00:00,2025-01-03 10:00:00,0.06691208,25.36552635,32.77841168,59.00114103,0,1,
job_042_0087,Zone West,18.00000000,3,2025-01-02 19:00:00,2025-01-03 22:00:00,0,dc_2,Zone West,2025-01-03 06:00:00,2025-01-03 09:00:00,0.06281113,12.02447885,15.87519080,28.57534345,0,1,
job_042_0065,Zone South,33.00000000,1,2025-01-02 20:00:00,2025-01-03 04:00:00,0,dc_2,Zone West,2025-01-03 03:00:00,2025-01-03 04:00:00,0.24703428,10.06021725,11.00134362,19.80241852,1,1,
job_042_0168,Zone West,15.00000000,2,2025-01-02 22:00:00,2025-01-03 23:00:00,0,dc_2,Zone West,2025-01-03 06:00:00,2025-01-03 08:00:00,0.07367824,6.59889924,8.74204814,15.73568665,0,1,
job_042_0138,Zone South,35.00000000,6,2025-01-02 23:00:00,2025-01-04 04:00:00,0,dc_2,Zone West,2025-01-03 05:00:00,2025-01-03 11:00:00,0.18980074,49.98360565,62.90340834,113.22613502,1,1,
job_042_0062,Zone South,18.00000000,1,2025-01-03 02:00:00,2025-01-03 22:00:00,0,dc_2,Zone West,2025-01-03 06:00:00,2025-01-03 07:00:00,0.16263042,3.80456416,5.25177123,9.45318821,1,1,
