seed,baseline,baseline_coverage,proposed_coverage,coverage_gap_percentage_points,common_jobs,common_it_energy_kwh,co2_reduction_pct,water_reduction_pct,scarcity_weighted_water_reduction_pct
42,immediate_local,1.00000000,1.00000000,0.00000000,180.00000000,17999.00000000,28.65809016,28.57049746,20.45931391
42,carbon_greedy,1.00000000,1.00000000,0.00000000,180.00000000,17999.00000000,-39.61306712,50.71410341,37.91004765
42,random,1.00000000,1.00000000,0.00000000,180.00000000,17999.00000000,24.59141960,28.06271634,20.12142493
43,immediate_local,1.00000000,1.00000000,0.00000000,180.00000000,20791.00000000,21.18168348,29.76088937,21.12020550
43,carbon_greedy,1.00000000,1.00000000,0.00000000,180.00000000,20791.00000000,-46.32491058,51.20233221,37.56823883
43,random,1.00000000,1.00000000,0.00000000,180.00000000,20791.00000000,21.61195176,28.80334390,20.08409764
44,immediate_local,1.00000000,1.00000000,0.00000000,180.00000000,19480.00000000,19.06299764,28.08595224,19.92186095
44,carbon_greedy,1.00000000,1.00000000,0.00000000,180.00000000,19480.00000000,-44.92454499,51.41391939,38.29122074
44,random,1.00000000,1.00000000,0.00000000,180.00000000,19480.00000000,24.57167607,25.85008132,18.76420725
45,immediate_local,1.00000000,1.00000000,0.00000000,180.00000000,19443.00000000,24.17506012,27.85458699,19.61499737
45,carbon_greedy,1.00000000,1.00000000,0.00000000,180.00000000,19443.00000000,-46.85898012,50.24845612,37.02031348
45,random,1.00000000,1.00000000,0.00000000,180.00000000,19443.00000000,19.26239014,29.02721243,20.22158232
46,immediate_local,1.00000000,1.00000000,0.00000000,180.00000000,17167.00000000,27.97169073,31.34137166,22.54608050
46,carbon_greedy,1.00000000,1.00000000,0.00000000,180.00000000,17167.00000000,-49.66615129,55.81706962,42.01089722
46,random,1.00000000,1.00000000,0.00000000,180.00000000,17167.00000000,27.16222971,32.23258897,22.97070821
47,immediate_local,1.00000000,1.00000000,0.00000000,180.00000000,19383.00000000,24.80125328,21.26377474,15.10604404
47,carbon_greedy,1.00000000,1.00000000,0.00000000,180.00000000,19383.00000000,-47.60822694,51.50547525,38.24682998
47,random,1.00000000,1.00000000,0.00000000,180.00000000,19383.00000000,22.28354729,21.80210266,15.34991612
48,immediate_local,1.00000000,1.00000000,0.00000000,180.00000000,19079.00000000,20.75697537,32.80481145,22.23524793
48,carbon_greedy,1.00000000,1.00000000,0.00000000,180.00000000,19079.00000000,-49.44428267,56.74456945,41.95044220
48,random,1.00000000,1.00000000,0.00000000,180.00000000,19079.00000000,15.32838984,36.24974603,24.88278240
49,immediate_local,1.00000000,1.00000000,0.00000000,180.00000000,20771.00000000,24.14087243,27.54929287,19.09742370
49,carbon_greedy,1.00000000,1.00000000,0.00000000,180.00000000,20771.00000000,-45.63586966,51.44108500,38.04828100
49,random,1.00000000,1.00000000,0.00000000,180.00000000,20771.00000000,25.50722231,25.67409553,18.23561072
50,immediate_local,1.00000000,1.00000000,0.00000000,180.00000000,18377.00000000,22.64750129,28.83213178,20.20195577
50,carbon_greedy,1.00000000,1.00000000,0.00000000,180.00000000,18377.00000000,-46.33084130,52.99922463,39.31560031
50,random,1.00000000,1.00000000,0.00000000,180.00000000,18377.00000000,19.49288329,35.59285027,24.88189130
51,immediate_local,1.00000000,1.00000000,0.00000000,180.00000000,18246.00000000,25.97200431,29.91054784,20.50077809
51,carbon_greedy,1.00000000,1.00000000,0.00000000,180.00000000,18246.00000000,-52.43797205,55.44525244,41.34595086
51,random,1.00000000,1.00000000,0.00000000,180.00000000,18246.00000000,23.32790138,31.68834438,22.32151395
