seed,policy,total_jobs,scheduled_jobs,coverage,total_co2_kg,total_water_liters,total_scarcity_weighted_water_liters,relocation_rate
42,proposed,180.00000000,180.00000000,1.00000000,5080.35389962,8731.94450633,13082.37108102,0.62777778
42,immediate_local,180.00000000,180.00000000,1.00000000,7121.13526365,12224.56295558,16447.39531855,0.00000000
42,carbon_greedy,180.00000000,180.00000000,1.00000000,3638.88137728,17716.92332093,21070.02918649,0.78333333
42,random,180.00000000,180.00000000,1.00000000,6737.10322178,12138.27387090,16377.82229950,0.77222222
43,proposed,180.00000000,180.00000000,1.00000000,6303.47774088,9548.86673177,14658.98540794,0.59444444
43,immediate_local,180.00000000,180.00000000,1.00000000,7997.47827603,13594.80017127,18583.95486668,0.00000000
43,carbon_greedy,180.00000000,180.00000000,1.00000000,4307.86372315,19568.28505067,23480.01262997,0.72222222
43,random,180.00000000,180.00000000,1.00000000,8041.37605490,13411.95956992,18343.01431206,0.76666667
44,proposed,180.00000000,180.00000000,1.00000000,5780.51905809,9215.85168651,13923.62933704,0.52777778
44,immediate_local,180.00000000,180.00000000,1.00000000,7141.99796085,12815.09242497,17387.55358526,0.00000000
44,carbon_greedy,180.00000000,180.00000000,1.00000000,3988.64047384,18968.09038886,22563.44964805,0.74444444
44,random,180.00000000,180.00000000,1.00000000,7663.59207872,12428.67402990,17139.77160281,0.76666667
45,proposed,180.00000000,180.00000000,1.00000000,5666.82772484,9211.02991736,13968.34100255,0.56666667
45,immediate_local,180.00000000,180.00000000,1.00000000,7473.56705316,12767.31192328,17376.79983250,0.00000000
45,carbon_greedy,180.00000000,180.00000000,1.00000000,3858.68655787,18514.05845770,22179.12119549,0.71666667
45,random,180.00000000,180.00000000,1.00000000,7018.82026798,12978.25579799,17508.92209766,0.81666667
46,proposed,180.00000000,180.00000000,1.00000000,4922.34944688,7631.92940563,11831.70343957,0.59444444
46,immediate_local,180.00000000,180.00000000,1.00000000,6833.90946786,11115.76154431,15275.79690728,0.00000000
46,carbon_greedy,180.00000000,180.00000000,1.00000000,3288.88623418,17273.47946534,20403.32212970,0.76111111
46,random,180.00000000,180.00000000,1.00000000,6757.96283642,11261.94625018,15360.00548009,0.71111111
47,proposed,180.00000000,180.00000000,1.00000000,5752.35396800,9099.32945447,13806.74800611,0.54444444
47,immediate_local,180.00000000,180.00000000,1.00000000,7649.53435960,11556.72554023,16263.52294420,0.00000000
47,carbon_greedy,180.00000000,180.00000000,1.00000000,3897.04157219,18763.62228688,22357.95830736,0.80000000
47,random,180.00000000,180.00000000,1.00000000,7401.71967130,11636.28404888,16310.37722894,0.80000000
48,proposed,180.00000000,180.00000000,1.00000000,5867.41670603,8119.35100658,12943.29826183,0.59444444
48,immediate_local,180.00000000,180.00000000,1.00000000,7404.33209563,12083.23271706,16644.17093576,0.00000000
48,carbon_greedy,180.00000000,180.00000000,1.00000000,3926.15669278,18770.70902818,22296.97994619,0.78888889
48,random,180.00000000,180.00000000,1.00000000,6929.61512704,12736.18613467,17230.80097315,0.75555556
49,proposed,180.00000000,180.00000000,1.00000000,6248.35366294,9642.20078924,14700.24451161,0.61111111
49,immediate_local,180.00000000,180.00000000,1.00000000,8236.78555694,13308.63585962,18170.30456169,0.00000000
49,carbon_greedy,180.00000000,180.00000000,1.00000000,4290.39472038,19856.70558905,23728.54982672,0.75555556
49,random,180.00000000,180.00000000,1.00000000,8387.86504754,12972.86707521,17978.78592538,0.71666667
50,proposed,180.00000000,180.00000000,1.00000000,5337.85232733,8332.38137873,12852.53776346,0.56666667
50,immediate_local,180.00000000,180.00000000,1.00000000,6900.68506710,11708.06655691,16106.33178809,0.00000000
50,carbon_greedy,180.00000000,180.00000000,1.00000000,3647.79719704,17728.17855343,21179.31103931,0.76111111
50,random,180.00000000,180.00000000,1.00000000,6630.28629694,12937.04412309,17109.77284425,0.74444444
51,proposed,180.00000000,180.00000000,1.00000000,5387.87394093,8006.49832915,12498.36199315,0.61666667
51,immediate_local,180.00000000,180.00000000,1.00000000,7278.15725744,11423.25711199,15721.36392397,0.00000000
51,carbon_greedy,180.00000000,180.00000000,1.00000000,3534.46970483,17970.02287574,21308.60899905,0.75555556
51,random,180.00000000,180.00000000,1.00000000,7027.16377662,11720.54498896,16089.86300914,0.74444444
